order,col1,col2
15548,IOPC 17090070,
15549,Styrene,
15553,1701 Petroleum and Coal Product Manufacturing,22
15575,IOPC 17090080,
15576,Chloroform and other halomethanes,
15580,1701 Petroleum and Coal Product Manufacturing,47
15614,IOPC 17090100,
15615,Brake and hydraulic fluid,
15619,1701 Petroleum and Coal Product Manufacturing,82
15620,3301 Wholesale Trade,1
15657,IOPC 17090110,
15658,Rust arresting compound,
15662,1701 Petroleum and Coal Product Manufacturing,20
15703,IOPC 17090120,
15704,Bituminous mixtures and other articles of asphalt,
15708,1701 Petroleum and Coal Product Manufacturing,552
15753,IOPC 17090130,
15754,Petroleum and coal products nec.,
15758,1701 Petroleum and Coal Product Manufacturing,70
15779,IOPC 17091700,
15780,Petroleum and coal products - commission production (1701-1709),
15784,1701 Petroleum and Coal Product Manufacturing,400
15805,IOPC 17091970,
15806,Waste from the manufacture of Petroleum and Coal products (1701-1709),
15827,IOPC 18110010,
15828,Acetylene gas,
15832,1803 Basic Chemical Manufacturing,115
15861,IOPC 18110020,
15862,"Hydrogen, rare gases, nitrogen, medicinal gases (incl nitrous oxide and oxygen), carbon dioxide (incl dry ice) and carbon monoxide",
15866,1803 Basic Chemical Manufacturing,910
15867,3301 Wholesale Trade,4
15868,3901 Retail Trade,1
15935,IOPC 18110030,
15936,Ethylene gas,
15940,1803 Basic Chemical Manufacturing,222
15975,IOPC 18110040,
15976,Liquefied natural gas (other than from the well head),
15980,1803 Basic Chemical Manufacturing,n.p.
15997,IOPC 18110050,
15998,"Hydrogen sulphide, Sulphur dioxide and other industrial organic and inorganic gases nec",
16002,1803 Basic Chemical Manufacturing,191
16052,IOPC 18120010,
16053,Carbon black,
16057,1803 Basic Chemical Manufacturing,147
16086,IOPC 18120020,
16087,"Synthetic organic colouring agents & preparations (incl colour lakes, pigments & dyes of vegetable or animal origin)",
16091,1803 Basic Chemical Manufacturing,200
16092,3301 Wholesale Trade,8
16126,IOPC 18120030,
16127,"Hydrocarbons and derivatives (incl ethane, betane and benzole and benzene other than from petroleum and iron and steel)",
16131,1803 Basic Chemical Manufacturing,n.p.
16195,IOPC 18120040,
16196,Nitrogen-function compounds (excl saccharin),
16200,1803 Basic Chemical Manufacturing,n.p.
16308,IOPC 18120050,
16309,Organo-inorganic compounds; heterocyclic compounds; nucleic acids,
16313,1803 Basic Chemical Manufacturing,n.p.
16314,3301 Wholesale Trade,29
16395,IOPC 18120060,
16396,"Carboxylic, monocarboxylic & polycarboxylic acids and derivatives (excl pharmaceutical goods)",
16400,1803 Basic Chemical Manufacturing,n.p.
16511,IOPC 18120070,
16512,Ethyl alcohol pure,
16516,1803 Basic Chemical Manufacturing,79
16552,IOPC 18120080,
16553,"Other alcohols, phenols (excl phenol), phenol-alcohols and derivatives; fatty acids (purity less than 90%)",
16557,1803 Basic Chemical Manufacturing,n.p.
16617,IOPC 18120090,
16618,Plasticiser; mixed alkylbenzenes and alkylnaphthalenes nec; other chemical products and preparations nec,
16622,1803 Basic Chemical Manufacturing,127
16704,IOPC 18120100,
16705,"Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals and derivatives; organic chemicals nec",
16709,1803 Basic Chemical Manufacturing,n.p.
16710,3301 Wholesale Trade,1
16753,IOPC 18130010,
16754,"Hydrochloric, chlorosulphuric, sulphuric (incl oleum), diphosphorous pentaoxide, phosphoric, and polyphosphoric acids",
16758,1803 Basic Chemical Manufacturing,n.p.
16790,IOPC 18130020,
16791,"Nitric, sulphonitric and other inorganic acids; inorganic oxygen compounds of non-metals (excl industrial gases)",
16795,1803 Basic Chemical Manufacturing,n.p.
16888,IOPC 18130030,
16889,Synthetic inorganic colouring agents and preparations (incl inorganic pigments and chemical whites),
16893,1803 Basic Chemical Manufacturing,n.p.
16928,IOPC 18130040,
16929,Refined salt other than cooking or table salt,
16933,1803 Basic Chemical Manufacturing,253
16934,3301 Wholesale Trade,4
16954,IOPC 18130050,
16955,Triammonium phosphate; ammonia (excl fertiliser); ammonium chloride & carbonates; potassium nitrate,
16959,1803 Basic Chemical Manufacturing,252
17007,IOPC 18130060,
17008,"Prepared pigments, opacifiers, colours, glazes used in ceramic, enamel, glass industry; glass powder, granules/flakes",
17012,1803 Basic Chemical Manufacturing,732
17085,IOPC 18130070,
17086,Artificial graphite; colloidal or semi-colloidal graphite; preparations based on carbon in form of semi-manufactures,
17090,1803 Basic Chemical Manufacturing,2
17115,IOPC 18130080,
17116,"Radioactive elements, nuclear reactor fuel elements, isotopes and compounds; alloys, dispersions, ceramic products and mixtures",
17120,1803 Basic Chemical Manufacturing,12
17140,IOPC 18130090,
17141,Other inorganic chemicals nec,
17145,1803 Basic Chemical Manufacturing,n.p.
17146,3301 Wholesale Trade,4
17225,IOPC 18210010,
17226,Synthetic rubber,
17230,1803 Basic Chemical Manufacturing,88
17271,IOPC 18210020,
17272,Polystyrene,
17276,1803 Basic Chemical Manufacturing,n.p.
17309,IOPC 18210030,
17310,Polyethylene,
17314,1803 Basic Chemical Manufacturing,n.p.
17361,IOPC 18210040,
17362,Polyvinyl chloride,
17366,1803 Basic Chemical Manufacturing,n.p.
17410,IOPC 18210050,
17411,Polypropylene,
17415,1803 Basic Chemical Manufacturing,n.p.
17450,IOPC 18210060,
17451,"Polyvinyl acetate & synthetic resins nec (excl adhesives) in primary forms, not mixed/compounded (excl regranulated)",
17455,1803 Basic Chemical Manufacturing,n.p.
17500,IOPC 18210070,
17501,"Rosin and resin acids, and derivatives thereof, rosin spirit and rosin oils; run gums",
17505,1803 Basic Chemical Manufacturing,41
17535,IOPC 18210080,
17536,"Plastics in primary forms, mixed/compounded with other substances; regranulated, single thermoplastic scrap material",
17540,1803 Basic Chemical Manufacturing,n.p.
17593,IOPC 18290010,
17594,Cellulose fibre or filament,
17598,1803 Basic Chemical Manufacturing,n.p.
17614,IOPC 18290020,
17615,Non-cellulose fibre or filament,
17619,1803 Basic Chemical Manufacturing,n.p.
17635,IOPC 18290030,
17636,Synthetic fibre or filament nec,
17640,1803 Basic Chemical Manufacturing,n.p.
17729,IOPC 18290040,
17730,Basic polymers nec,
17734,1803 Basic Chemical Manufacturing,328
17785,IOPC 18310010,
17786,"Ammonia aqua or urea, fertiliser grade; ammonium sulphate",
17790,1803 Basic Chemical Manufacturing,948
17825,IOPC 18310020,
17826,Superphosphate and other phosphatic fertilisers,
17830,1803 Basic Chemical Manufacturing,856
17831,3301 Wholesale Trade,259
17878,IOPC 18310030,
17879,Ammonium nitrate (excl explosive),
17883,1803 Basic Chemical Manufacturing,264
17915,IOPC 18310040,
17916,Mixed fertilisers,
17920,1803 Basic Chemical Manufacturing,712
17921,3301 Wholesale Trade,703
17976,IOPC 18310050,
17977,Ground phosphate,
17981,1803 Basic Chemical Manufacturing,75
17999,IOPC 18310060,
18000,Fertilisers nec,
18004,1803 Basic Chemical Manufacturing,20
18005,3301 Wholesale Trade,195
18058,IOPC 18320010,
18059,"Insecticides, pesticides, fungicides, weedkillers and pest control chemicals nec",
18063,1803 Basic Chemical Manufacturing,n.p.
18064,3301 Wholesale Trade,"1,285"
18148,IOPC 18321700,
18149,Basic Chemicals - commission production (1811-1832),
18153,1803 Basic Chemical Manufacturing,7
18172,IOPC 18321970,
18173,Waste from the manufacture of basic chemicals (1811-1832),
18193,IOPC 18410010,
18194,"Pharmaceutical goods, for human use (excl wadding, gauze, bandages and surgical sutures)",
18198,1801 Human Pharmaceutical and Medicinal Product Manufacturing,"8,087"
18199,3301 Wholesale Trade,n.p.
18200,3901 Retail Trade,145
18282,IOPC 18411700,
18283,Human Pharmaceutical and Medicinal Products - commission production,
18287,3301 Wholesale Trade,n.p.
18303,IOPC 18420010,
18304,Animal feed supplements,
18308,1802 Veterinary Pharmaceutical and Medicinal Product Manufacturing,119
18336,IOPC 18420020,
18337,Pharmaceutical goods for veterinary use,
18341,1802 Veterinary Pharmaceutical and Medicinal Product Manufacturing,436
18382,IOPC 18421700,
18383,Veterinary Pharmaceutical and Medicinal Products - commission production,
18403,IOPC 18421970,
18404,Waste from the manufacture of pharmaceutical goods for human or veterinary use (1841-1842),
18424,IOPC 18510010,
18425,"Glycerol (glycerine), glycerol waters and lyes",
18429,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,1
18448,IOPC 18510020,
18449,Candles and tapers,
18453,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,n.p.
18479,IOPC 18510030,
18480,Soap and soap based products,
18484,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,254
18546,IOPC 18510040,
18547,Toothpaste and other dentifrices,
18551,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,401
18592,IOPC 18510050,
18593,Laundry bleach,
18597,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,148
18634,IOPC 18510060,
18635,Disinfectants (incl phenyl),
18639,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,132
18670,IOPC 18510070,
18671,"Anionic, cationic and other organic surface active agents (excl soap)",
18675,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,n.p.
18732,IOPC 18510080,
18733,Scouring preparations and abrasive cleaners,
18737,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,53
18738,3301 Wholesale Trade,3
18770,IOPC 18510090,
18771,"Surface cleaning, washing and degreasing preparations nec (incl oven and stove cleaners)",
18775,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,781
18776,3301 Wholesale Trade,31
18821,IOPC 18510100,
18822,"Other cleaning polishes, creams and waxes nec",
18826,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,20
18827,3301 Wholesale Trade,4
18855,IOPC 18520010,
18856,Barrier creams and toilet lanolin; sunscreening preparations,
18860,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,89
18904,IOPC 18520020,
18905,"Hair shampoo, conditioner, sprays, colouring and other hairdressing preparations",
18909,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,470
18940,IOPC 18520030,
18941,"Aftershave & shaving preparations; lipstick, eye makeup; beauty cream or lotions; face lotions & powders",
18945,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,373
18976,IOPC 18520040,
18977,Hand cream or lotions (excl barrier & medicated cream); nail polishes & other nail care preparations,
18981,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,70
19012,IOPC 18520050,
19013,"Perfume, deodorants, bath salts, depilatories, talcum powder and other preparations nec",
19017,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,422
19054,IOPC 18521700,
19055,Cleaning Compounds and Toiletry Preparations - commission production (1851-1852),
19059,1804 Cleaning Compounds and Toiletry Preparation Manufacturing,2
19076,IOPC 18521970,
19077,Waste from the manufacture of cleaning compounds and toiletry preparations (1851 -1852),
19097,IOPC 18910010,
19098,"Photographic, film, cloth, plates (sensitised), photographic chemicals and photographic paper (sensitised)",
19102,3301 Wholesale Trade,25
19123,IOPC 18920010,
19124,"Safety fuses, detonating fuses or caps",
19128,1803 Basic Chemical Manufacturing,148
19151,IOPC 18920020,
19152,"Explosives and other pyrotechnic articles (incl Ammonium nitrate (explosive), nitrocellulose, gun cotton, signalling flares, fireworks and matches)",
19156,1803 Basic Chemical Manufacturing,n.p.
19157,3301 Wholesale Trade,n.p.
19198,IOPC 18990010,
19199,"Eucalyptus, sandalwood and Tea-tree oil",
19203,1803 Basic Chemical Manufacturing,1
19224,IOPC 18990020,
19225,Natural gums (processed or refined),
19229,1803 Basic Chemical Manufacturing,25
19259,IOPC 18990030,
19260,"Fluxes and other preparations (incl pickling preparations, powders and pastes) for soldering, brazing or welding",
19264,1803 Basic Chemical Manufacturing,9
19285,IOPC 18990040,
19286,Other chemical products nec,
19290,1803 Basic Chemical Manufacturing,n.p.
19291,3301 Wholesale Trade,n.p.
19363,IOPC 18991700,
19364,Other Basic Chemical Products - commission production (1891-1899),
19368,1803 Basic Chemical Manufacturing,10
19387,IOPC 18991970,
19388,Waste from the manufacture of other basic chemical products (1891-1899),
19408,IOPC 18991980,
19409,General government consumption of fixed capital (1891-1899),
19429,IOPC 19110010,
19430,"Self-adhesive plastic plates, film, foil, tape, strip and other flat shapes",
19434,1901 Polymer Product Manufacturing,34
19496,IOPC 19110020,
19497,"Flexible plastic strip, plates, film, foil, tape and sheet (excl self-adhesive)",
19501,1901 Polymer Product Manufacturing,n.p.
19608,IOPC 19110030,
19609,"Plastic-coated, pressure-sensitive, gummed or adhesive paper and paperboard",
19613,1901 Polymer Product Manufacturing,9
19697,IOPC 19110040,
19698,"Plastic sacks, packets and bags (incl garbage bags)",
19702,1901 Polymer Product Manufacturing,510
19791,IOPC 19110050,
19792,"Textile fabrics (excl tyre cord) impregnated, coated, covered or laminated with plastics",
19796,1901 Polymer Product Manufacturing,100
19855,IOPC 19120010,
19856,Plastic bottles,
19860,1901 Polymer Product Manufacturing,941
19928,IOPC 19120020,
19929,"Plastic table and kitchenware (incl disposable cups), other household (incl buckets) and toilet articles",
19933,1901 Polymer Product Manufacturing,611
19997,IOPC 19120030,
19998,Complete and assembled other domestic furniture (plastic only) not elsewhere specified,
20002,1901 Polymer Product Manufacturing,15
20025,IOPC 19120040,
20026,Other complete and assembled non-domestic furniture (plastic only) nec,
20030,1901 Polymer Product Manufacturing,268
20049,IOPC 19120050,
20050,"Other medical, dental, surgical or veterinary furniture and parts (plastic only)",
20054,1901 Polymer Product Manufacturing,6
20075,IOPC 19120060,
20076,Unassembled or partly assembled domestic furniture and parts (plastic only) nec,
20080,1901 Polymer Product Manufacturing,10
20103,IOPC 19120070,
20104,Unassembled or partly assembled non-domestic furniture and parts (plastic only) nec,
20108,1901 Polymer Product Manufacturing,15
20137,IOPC 19120080,
20138,Plastic pipes,
20142,1901 Polymer Product Manufacturing,551
20169,IOPC 19120090,
20170,"Plastic fittings for tubes, pipes and hoses (incl joints, elbows and flanges)",
20174,1901 Polymer Product Manufacturing,264
20223,IOPC 19120100,
20224,"Plastic taps, cocks, valves and similar attachments",
20228,1901 Polymer Product Manufacturing,24
20283,IOPC 19120110,
20284,"Plastic drums, drum linings, boxes, cases, crates & packaging accessories. (incl stoppers, lids, caps & seals)",
20288,1901 Polymer Product Manufacturing,778
20352,IOPC 19120120,
20353,Polycarbonate sheets,
20357,1901 Polymer Product Manufacturing,397
20423,IOPC 19120130,
20424,Plastic blow moulded products nec,
20428,1901 Polymer Product Manufacturing,6
20445,IOPC 19120140,
20446,"Other rigid or semi-rigid plastic injection moulded products (excl toys, games and fibre reinforced products)",
20450,1901 Polymer Product Manufacturing,453
20451,3901 Retail Trade,179
20535,IOPC 19120150,
20536,Rigid and semi-rigid polymer products nec (excl fibre reinforced plastic products),
20540,1901 Polymer Product Manufacturing,243
20541,3901 Retail Trade,11
20625,IOPC 19130010,
20626,"Foam and sponge plastic sheets, plates and strip (incl foam insulation and padding)",
20630,1901 Polymer Product Manufacturing,n.p.
20670,IOPC 19130020,
20671,Plastic foam products nec,
20675,1901 Polymer Product Manufacturing,237
20676,3901 Retail Trade,77
20707,IOPC 19140010,
20708,"New pneumatic, rubber tyres for motor cars and motor cycles",
20712,1901 Polymer Product Manufacturing,45
20756,IOPC 19140020,
20757,"New pneumatic, rubber tyres for buses and lorries",
20761,1901 Polymer Product Manufacturing,10
20792,IOPC 19140030,
20793,Tyres (solid rubber),
20797,1901 Polymer Product Manufacturing,1
20813,IOPC 19140040,
20814,"Tyres, rubber nec (incl retreaded tyres)",
20818,1901 Polymer Product Manufacturing,47
20860,IOPC 19140050,
20861,Pneumatic rubber tubes,
20865,1901 Polymer Product Manufacturing,2
20883,IOPC 19140060,
20884,Camel-back and unvulcanised rubber strip for retreading rubber tyres,
20888,1901 Polymer Product Manufacturing,4
20906,IOPC 19150010,
20907,Adhesives (excl bituminous) and glues,
20911,1901 Polymer Product Manufacturing,n.p.
20912,3301 Wholesale Trade,26
20956,IOPC 19160010,
20957,"Architectural & decorative paints (incl coatings for use on buildings), enamels & clears (excl heavy duty coatings)",
20961,1901 Polymer Product Manufacturing,"1,551"
21022,IOPC 19160020,
21023,"Automotive paints (incl primer & undercoats), enamels, lacquers (excl heavy duty coatings & bituminous mastics)",
21027,1901 Polymer Product Manufacturing,153
21047,IOPC 19160030,
21048,"Industrial paints (incl primer, undercoats, finishing coats and heavy duty coats), enamels and clears",
21052,1901 Polymer Product Manufacturing,660
21079,IOPC 19160040,
21080,Inks,
21084,1901 Polymer Product Manufacturing,307
21122,IOPC 19160050,
21123,"Filler or putty, caulking compound",
21127,1901 Polymer Product Manufacturing,222
21151,IOPC 19160060,
21152,"Other paints (incl marine coatings) and other allied products (incl thinners, wood stains, paint, rubbing compounds and varnish remover)",
21156,1901 Polymer Product Manufacturing,140
21186,IOPC 19190010,
21187,Plastic tubes and hoses,
21191,1901 Polymer Product Manufacturing,387
21246,IOPC 19190020,
21247,Plastic conveyor belting,
21251,1901 Polymer Product Manufacturing,51
21293,IOPC 19190030,
21294,Plastic wall or ceiling coverings (excl tiles),
21298,1901 Polymer Product Manufacturing,229
21325,IOPC 19190040,
21326,"Linoleum and other floor coverings with a textile base; plastic floor coverings (incl paper or paperboard base), wall or ceiling tiles",
21330,1901 Polymer Product Manufacturing,45
21347,IOPC 19190060,
21348,Rigid fibre reinforced plastic articles (incl swimming pool shells and tanks),
21352,1901 Polymer Product Manufacturing,309
21426,IOPC 19190070,
21427,Other plastic injection moulded products nec (excl rigid or semi-rigid),
21431,1901 Polymer Product Manufacturing,206
21432,3901 Retail Trade,20
21507,IOPC 19190080,
21508,Artificial guts (sausage casing) of hardened protein or of cellulosic materials,
21512,1901 Polymer Product Manufacturing,30
21529,IOPC 19190090,
21530,Synthetic rubber products and other polymer products nec (excl rigid or semi-rigid),
21534,1901 Polymer Product Manufacturing,67
21535,3901 Retail Trade,11
21580,IOPC 19191700,
21581,Polymer Products - commission production (1911-1919),
21585,1901 Polymer Product Manufacturing,5
21602,IOPC 19200010,
21603,"Rubber gloves, mittens and mitts",
21607,1902 Natural Rubber Product Manufacturing,23
21655,IOPC 19200020,
21656,Rubber belting (incl V belts),
21660,1902 Natural Rubber Product Manufacturing,79
21689,IOPC 19200030,
21690,"Rubber tubes, pipes and hose",
21694,1902 Natural Rubber Product Manufacturing,n.p.
21743,IOPC 19200040,
21744,"Rubber sheets, strips, plates, rods, profile shapes and primary forms (excl cellular)",
21748,1902 Natural Rubber Product Manufacturing,n.p.
21795,IOPC 19200050,
21796,Sponge and foam rubber,
21800,1902 Natural Rubber Product Manufacturing,66
21839,IOPC 19200060,
21840,Other natural rubber products nec,
21844,1902 Natural Rubber Product Manufacturing,220
21901,IOPC 19201700,
21902,Natural Rubber Products - commission production,
21922,IOPC 19201970,
21923,"Waste from manufacture of polymer products, rubber, natural rubber and rubber products (1911-1920)",
21927,1902 Natural Rubber Product Manufacturing,75
21944,IOPC 20100010,
21945,"Float, surface ground/polished glass, in sheets; cast & rolled glass, in sheets or profiles; but not otherwise worked",
21949,2001 Glass and Glass Product Manufacturing,n.p.
21990,IOPC 20100020,
21991,Safety glass (incl windscreens and laminated sheet glass),
21995,2001 Glass and Glass Product Manufacturing,508
22034,IOPC 20100030,
22035,"Glass containers, bottles or jars; glass stoppers; glass inners for vacuum vessels",
22039,2001 Glass and Glass Product Manufacturing,962
22094,IOPC 20100040,
22095,Rear-view mirrors for vehicles,
22099,2001 Glass and Glass Product Manufacturing,68
22141,IOPC 20100050,
22142,Glassware nec,
22146,2001 Glass and Glass Product Manufacturing,n.p.
22192,IOPC 20101700,
22193,Glass and glass products - commission production,
22197,2001 Glass and Glass Product Manufacturing,20
22220,IOPC 20210010,
22221,Clay bricks (excl refractory bricks),
22225,2002 Ceramic Product Manufacturing,686
22247,IOPC 20290010,
22248,"Refractory products (incl bricks, cement and clay)",
22252,2002 Ceramic Product Manufacturing,117
22299,IOPC 20290020,
22300,"Ceramic roofing, flooring and wall tiles (incl terracotta) and ceramic construction goods nec",
22304,2002 Ceramic Product Manufacturing,21
22327,IOPC 20290030,
22328,Ceramic wash basins and permanent fixture type sanitary ware,
22332,2002 Ceramic Product Manufacturing,130
22353,IOPC 20290040,
22354,"Tableware, ornamental pottery and domestic ware nec",
22358,2002 Ceramic Product Manufacturing,303
22402,IOPC 20290050,
22403,Ceramic goods nec,
22407,2002 Ceramic Product Manufacturing,11
22437,IOPC 20291700,
22438,Ceramic products - commission production (2021-2029),
22442,2002 Ceramic Product Manufacturing,2
22460,IOPC 20310010,
22461,Cement (incl hydraulic and portland) (excl adhesive or refractory),
22465,"2003 Cement, Lime and Ready-Mixed Concrete Manufacturing","1,346"
22523,IOPC 20310020,
22524,"Lime (incl hydraulic, quick, hydrated, slaked and agricultural)",
22528,"2003 Cement, Lime and Ready-Mixed Concrete Manufacturing",250
22565,IOPC 20320010,
22566,"Plaster boards, sheets, panels, tiles, cornices and other articles of plaster (excl ornamental)",
22570,2004 Plaster and Concrete Product Manufacturing,"1,117"
22596,IOPC 20320020,
22597,Plasters (incl plaster of paris)(excl dental plasters),
22601,2004 Plaster and Concrete Product Manufacturing,12
22623,IOPC 20330010,
22624,Ready mixed concrete and mortar (incl dry mix concrete),
22628,"2003 Cement, Lime and Ready-Mixed Concrete Manufacturing","4,519"
22675,IOPC 20331700,
22676,"Cement, lime and ready-mixed concrete - commission production (2031, 2033)",
22680,"2003 Cement, Lime and Ready-Mixed Concrete Manufacturing",9
22701,IOPC 20340010,
22702,"Concrete, cement, fibrous-cement or artificial stone pipes; concrete box culverts",
22706,2004 Plaster and Concrete Product Manufacturing,n.p.
22729,IOPC 20340020,
22730,"Concrete, cement and artificial stone bricks, blocks, building boards and tiles",
22734,2004 Plaster and Concrete Product Manufacturing,n.p.
22771,IOPC 20340030,
22772,Concrete or predominantly concrete prefabricated and transportable buildings,
22776,2004 Plaster and Concrete Product Manufacturing,22
22796,IOPC 20341700,
22797,"Plaster and concrete products - commission production (2032, 2034)",
22817,IOPC 20900010,
22818,Worked monumental or building stone,
22822,2005 Other Non-Metallic Mineral Product Manufacturing,173
22853,IOPC 20900020,
22854,Glass fibre and glass wool products,
22858,2005 Other Non-Metallic Mineral Product Manufacturing,n.p.
22893,IOPC 20900030,
22894,Ground limestone,
22898,2005 Other Non-Metallic Mineral Product Manufacturing,67
22961,IOPC 20900040,
22962,"Ground clays (excl colours); andalusite, kyanite & sillimanite; mullite; chamotte & dinas earths",
22966,2005 Other Non-Metallic Mineral Product Manufacturing,23
23004,IOPC 20900050,
23005,"Ground mica; feldspar; leucite; nepheline ; ground natural abrasives; crushed, powdered natural steatite and talc",
23009,2005 Other Non-Metallic Mineral Product Manufacturing,83
23037,IOPC 20900060,
23038,"Ground minerals & fluorspar (excl abrasives, dust & powders of natural & synthetic precious or semi-precious stones)",
23042,2005 Other Non-Metallic Mineral Product Manufacturing,52
23099,IOPC 20900070,
23100,Non-refractory mortars and concretes other than ready mixed; articles of asbestos-cement and cellulose fibre-cement nec,
23104,2005 Other Non-Metallic Mineral Product Manufacturing,226
23132,IOPC 20900080,
23133,Other non-metallic mineral products,
23137,2005 Other Non-Metallic Mineral Product Manufacturing,n.p.
23195,IOPC 20901700,
23196,Other non-metallic mineral products - commission production,
23216,IOPC 20901970,
23217,Waste from the manufacture of non-metallic mineral products (2010-2090),
23221,2005 Other Non-Metallic Mineral Product Manufacturing,157
23255,IOPC 21100010,
23256,"Basic iron, pig iron, sponge iron and spiegeleisen; iron or steel granules and powders",
23260,2101 Iron and Steel Manufacturing,665
23315,IOPC 21100020,
23316,"Ferro-alloys (incl manganese, silicon or chrome)",
23320,2101 Iron and Steel Manufacturing,442
23350,IOPC 21100030,
23351,Iron or steel primary forms (incl ingots) and semi-finished products,
23355,2101 Iron and Steel Manufacturing,"1,982"
23391,IOPC 21100040,
23392,"Iron or non-alloy steel flat-rolled products (excl clad, plated or coated)",
23396,2101 Iron and Steel Manufacturing,n.p.
23423,IOPC 21100050,
23424,"Clad, plated or coated iron or non-alloy steel flat-rolled products",
23428,2101 Iron and Steel Manufacturing,n.p.
23469,IOPC 21100060,
23470,Alloy steel flat-rolled products,
23474,2101 Iron and Steel Manufacturing,"1,903"
23513,IOPC 21100070,
23514,"Iron and steel bars, rods, angles, shapes and sections (incl sheet piling)",
23518,2101 Iron and Steel Manufacturing,n.p.
23573,IOPC 21100080,
23574,"Iron or steel wire for further processing (excl fencing, stranded or barbed)",
23578,2101 Iron and Steel Manufacturing,n.p.
23608,IOPC 21100090,
23609,"Painted, varnished or coated steel sheet, profile decking or cladding (incl steel sheeting for fencing)",
23613,2101 Iron and Steel Manufacturing,"2,817"
23614,3301 Wholesale Trade,273
23673,IOPC 21100100,
23674,"Iron or steel rails, rail fastenings or other rail accessories",
23678,2101 Iron and Steel Manufacturing,193
23707,IOPC 21100110,
23708,Iron or steel expanded metal,
23712,2101 Iron and Steel Manufacturing,61
23765,IOPC 21100120,
23766,"Light oils obtained as a by-product from metallurgical coke (excl grease oils, toluole and xylole); Benzole from iron and steel manufacturing",
23770,2101 Iron and Steel Manufacturing,62
23841,IOPC 21100130,
23842,Crude tar,
23846,2101 Iron and Steel Manufacturing,9
23876,IOPC 21100140,
23877,Gas from coke works or blast furnaces,
23881,2101 Iron and Steel Manufacturing,76
23931,IOPC 21210010,
23932,"Cast iron tubes, pipes and hollow profiles; cast iron or cast steel tube or pipe fittings",
23936,2101 Iron and Steel Manufacturing,n.p.
23979,IOPC 21210020,
23980,"Cast iron or cast steel steam, gas and water fittings other than domestic (incl taps, cocks and valves)",
23984,2101 Iron and Steel Manufacturing,391
24044,IOPC 21210030,
24045,Cast articles of iron or steel nec,
24049,2101 Iron and Steel Manufacturing,743
24098,IOPC 21220010,
24099,Iron or steel seamless tubes or pipes (excl cast or forged),
24103,2101 Iron and Steel Manufacturing,541
24151,IOPC 21220020,
24152,"Iron or steel tubes, pipes, hollow profiles and fittings (excl cast iron or seamless)",
24156,2101 Iron and Steel Manufacturing,n.p.
24216,IOPC 21220030,
24217,"Steel steam, gas and water fittings other than domestic (incl taps, cocks and valves)(excl cast steel)",
24221,2101 Iron and Steel Manufacturing,44
24266,IOPC 21221700,
24267,Iron and steel - commission production (2110-2122),
24271,2101 Iron and Steel Manufacturing,33
24295,IOPC 21221970,
24296,"Waste from manufacture of iron and steel (incl slag, dross, sealings and scrap steel) (2110-2122)",
24300,2101 Iron and Steel Manufacturing,268
24318,IOPC 21310010,
24319,Alumina,
24323,2102 Basic Non-Ferrous Metal Manufacturing,"6,391"
24324,3301 Wholesale Trade,872
24349,IOPC 21320010,
24350,Aluminium and aluminium alloys (excl purchased scrap),
24354,2102 Basic Non-Ferrous Metal Manufacturing,"4,128"
24355,3301 Wholesale Trade,972
24391,IOPC 21320020,
24392,Aluminium secondary recovery from purchased scrap,
24396,2102 Basic Non-Ferrous Metal Manufacturing,246
24415,IOPC 21320030,
24416,Aluminium castings and diecastings,
24420,2102 Basic Non-Ferrous Metal Manufacturing,64
24438,IOPC 21321970,
24439,"Aluminium scrap from the manufacture of alumina, aluminium and aluminium alloys (2131-2132)",
24459,IOPC 21330010,
24460,Silver primary and secondary recovery (excl from purchased scrap),
24464,2102 Basic Non-Ferrous Metal Manufacturing,70
24465,3301 Wholesale Trade,82
24493,IOPC 21330020,
24494,Copper (including brass) primary and secondary recovery (excl from purchased scrap),
24498,2102 Basic Non-Ferrous Metal Manufacturing,n.p.
24499,3301 Wholesale Trade,n.p.
24532,IOPC 21330030,
24533,Lead primary and secondary recovery (excl from purchased scrap),
24537,2102 Basic Non-Ferrous Metal Manufacturing,n.p.
24557,IOPC 21330040,
24558,Zinc primary and secondary recovery (excl from purchased scrap),
24562,2102 Basic Non-Ferrous Metal Manufacturing,785
24592,IOPC 21330050,
24593,"Silver, copper (including brass), lead and zinc recovery from purchased scrap",
24597,2102 Basic Non-Ferrous Metal Manufacturing,90
